# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 2.4653815335523173,1.7817494506931026,0.7620000000000144,3.8412381848019893e-13,50.44568325486949,69.12000000000005,-1.7573502825949487,-0.5690385177640136,-75.60969493308838,-105.06716654782208
 2.476367860104933,1.7901210315261955,0.7619999999999826,-2.9002779640803737e-12,49.60287766776623,69.48000000000005,-1.7816148861185492,-0.5612885297442781,-76.71404841890636,-100.52072278472927
 2.487359969750087,1.798497019075803,0.7619999999999962,1.2423223242600656e-12,48.74808210927388,69.84000000000005,-1.804559009151746,-0.5541520088445662,-77.76446797627997,-95.56123358328166
 2.4983604646206152,1.8068793961671454,0.7619999999999975,1.1101730799034764e-13,47.88171990396736,70.20000000000005,-1.8260854353981,-0.5476195037840563,-78.75665735980851,-90.19497715386846
 2.5093720513421642,1.8152702252489659,0.7620000000000078,9.376554342353236e-13,47.00424630423982,70.56000000000006,-1.8460992842670796,-0.5416826757489429,-79.68639051903116,-84.43226055725586
 2.520397540282895,1.8236716478218025,0.7619999999999875,-1.8427374477320913e-12,46.11614813989593,70.92000000000006,-1.864508898685132,-0.536334259764171,-80.54954924158181,-78.2875686684473
 2.5314398445478226,1.8320858836716776,0.7620000000000186,2.8151954468633672e-12,45.217943237199705,71.28000000000006,-1.881226750056457,-0.5315680313231721,-81.34216202944849,-71.77965475776102
 2.5425019787137493,1.8405152299061138,0.7620000000000084,-9.132984081144124e-13,44.310179600046105,71.64000000000006,-1.8961703480318135,-0.5273787774595146,-82.06044363027806,-64.93155751464296
 2.5535870573025417,1.8489620597907737,0.7620000000000041,-3.906034369856293e-13,43.3934343482209,72.00000000000006,-1.9092631395843904,-0.5237622720866442,-82.70083468348872,-57.77054696374958
 2.564698292992438,1.8574288213864745,0.7619999999999959,-7.394002441777882e-13,42.46831241133037,72.36000000000006,-1.920435383024445,-0.5207152549049192,-83.26004080102302,-50.32798629614233
 2.575838994569133,1.8659180359879162,0.762000000000002,5.481007271760863e-13,41.53544498011573,72.72000000000006,-1.9296249806520305,-0.5182354136305256,-83.73507043453034,-42.639113007121324
 2.587012564620462,1.874432296367029,0.7620000000000046,2.2853152080378395e-13,40.59548772040175,73.08000000000006,-1.9367782543560514,-0.5163213691349939,-84.12327084324836,-34.742737275078625
 2.5982224969806813,1.8829742648255163,0.7620000000000201,1.3865491641956842e-12,39.64911875886615,73.44000000000005,-1.9418506486089302,-0.5149726631738455,-84.4223614492079,-26.68085732799891
 2.6094723739325083,1.8915466710628084,0.7619999999999892,-2.7435144594685507e-12,38.697036453207176,73.80000000000005,-1.944807346235266,-0.5141897483757389,-84.63046393626105,-18.498201175379492
 2.6207658631772235,1.9001523098672812,0.7619999999999894,9.830646672326609e-15,37.739956963194494,74.16000000000005,-1.9456237833804866,-0.5139739802432503,-84.74612843506736,-10.241697344372525
 2.6321067145852073,1.9087940386401647,0.7619999999999859,-3.034773362708097e-13,36.77861164237735,74.52000000000005,-1.9442860520775438,-0.5143276108633613,-84.76835523480842,-1.9598881020010699
 2.6434987567412946,1.9174747747631034,0.7620000000000053,1.7054802523319644e-12,35.813744273547485,74.88000000000005,-1.940791180558301,-0.5152537841357736,-84.69661151265046,6.297705115111748
 2.6549458933011474,1.9261974928217112,0.7620000000000011,-3.685504642594974e-13,34.84610817386228,75.24000000000005,-1.9351472841754431,-0.5167565322688579,-84.53084268068291,14.481248747300528
 2.666452099176556,1.9349652216987723,0.7619999999999854,-1.3701446958611365e-12,33.87646319803229,75.60000000000005,-1.927373582275211,-0.5188407733697002,-84.27147804667264,22.54128222793285
 2.6780214165690768,1.943781041551873,0.7619999999999875,1.8232914485961465e-13,32.905572669872456,75.96000000000005,-1.91750027945055,-0.5215123099155662,-83.91943061286175,30.42940407516888
 2.68965795087264,1.9526480806911883,0.7620000000000011,1.1735232197706602e-12,31.93420027391203,76.32000000000006,-1.9055683123013785,-0.5247778279815577,-83.47609095802449,38.098942801336264
 2.7013658664668387,1.9615695123739678,0.762000000000013,1.014645712800966e-12,30.963106939489084,76.68000000000006,-1.8916289659864454,-0.5286448970602016,-82.94331528185373,45.50559592646602
 2.713149382423304,1.9705485515327945,0.7620000000000033,-8.196993452484064e-13,29.993047749993604,77.04000000000006,-1.8757433676862445,-0.5331219703223655,-82.32340780794101,52.60802261421628
 2.725012768148127,1.9795884514551094,0.7620000000000006,-2.339599862925616e-13,29.024768909276208,77.40000000000006,-1.8579818664839909,-0.5382183852484959,-81.61909788462724,59.368374227273996
 2.73696033898341,1.9886925004315952,0.7619999999999969,-3.06651120279897e-13,28.059004796310557,77.76000000000006,-1.838423311826635,-0.5439443644817646,-80.83351220765215,65.75275324211655
 2.7489964517910437,1.9978640183910121,0.7620000000000116,1.2175811376375204e-12,27.09647513734905,78.12000000000006,-1.81715424436582,-0.5503110168553668,-79.97014271510042,71.73158862420723
 2.7611255005413655,2.007106353538757,0.7619999999999872,-2.004599432304679e-12,26.137882322671366,78.48000000000006,-1.7942680147354138,-0.5573303384931944,-79.03281076780597,77.2799224893522
 2.7733519119288337,2.016422879016008,0.7619999999999971,8.081672214376586e-13,25.183908892351226,78.84000000000006,-1.7698638469504437,-0.5650152138669003,-78.02562829661935,82.37760363756269
 2.7856801410359378,2.0258169895956213,0.7620000000000053,6.664096125121439e-13,24.23521521222015,79.20000000000006,-1.7440458628292297,-0.5733794169711672,-76.95295665655622,87.009385593345
 2.798114667065536,2.0352920984301752,0.7619999999999976,-6.249985848979809e-13,23.292437358231158,79.56000000000006,-1.7169220857455716,-0.5824376122261548,-75.81936390215905,91.16493477104217
 2.810659989160529,2.0448516338665597,0.7619999999999996,1.592945505259619e-13,22.356185223269584,79.92000000000006,-1.68860343946272,-0.5922053554019646,-74.62958127916622,94.8387465848909
 2.823320622328342,2.054499036340433,0.7619999999999902,-7.366040294540919e-13,21.427040857324638,80.28000000000006,-1.6592027586914573,-0.6026990943461651,-73.38845961567594,98.0299837330054
 2.836101093486154,2.064237755362686,0.7620000000000035,1.0337376321970483e-12,20.50555704789148,80.64000000000006,-1.6288338259006667,-0.6139361696071409,-72.10092633164751,100.742239322015
