2.8041,0,170.2368,1.4247,-4.9971
2.8178,0,170.9352,1.3747,-5.0042
2.831,0,171.6048,1.3248,-5.0056
2.8438,0,172.2492,1.2748,-4.9929
2.856,0,172.8666,1.2248,-5.0003
2.8678,0,173.457,1.1748,-5.0012
2.879,0,174.0204,1.1248,-5.0022
2.8898,0,174.5586,1.0748,-4.9948
2.9,0,175.0698,1.0247,-5.0039
2.9098,0,175.5558,0.9747,-4.9959
2.919,0,176.0148,0.9247,-5.0062
2.9278,0,176.4486,0.8747,-4.9975
2.936,0,176.8572,0.8247,-4.9979
2.9438,0,177.2406,0.7746,-4.9983
2.951,0,177.597,0.7247,-5.012
2.9578,0,177.93,0.6747,-4.9875
2.964,0,178.2378,0.6246,-5.0004
2.9698,0,178.5204,0.5745,-5.0015
2.975,0,178.7778,0.5245,-5.0029
2.9797,0,179.01,0.4746,-5.0047
2.984,0,179.2188,0.4245,-4.9845
2.9877,0,179.4006,0.3746,-5.0316
2.991,0,179.5608,0.3245,-4.9563
2.9937,0,179.694,0.2745,-5.0413
2.996,0,179.8038,0.2246,-4.9806
2.9977,0,179.8902,0.1742,-4.9628
2.999,0,179.9514,0.1234,-4.9989
2.9997,0,179.9874,0.0725,-4.9972
